,0,1,2,3,4,5,6,7,8,9
0,1,1,1,1,1,1,1,1,1,991
1,1,1,1,1,1,1,1,1,1,991
2,1,1,1,1,1,1,1,1,1,991
3,1,1,1,1,54,1,1,1,1,938
4,1,1,1,1,1,1,1,1,1,991
5,1,1,26,88,54,1,1,89,64,675
6,1,1,26,88,1,1,1,89,64,728
7,1,1,1,1,1,1,1,1,1,991
8,1,1,1,1,1,1,64,1,1,928
9,1,1,1,1,54,1,64,1,1,875
10,1,1,26,88,1,1,1,89,64,728
11,1,1,26,88,1,1,1,89,64,728
12,1,1,26,88,1,54,1,1,1,826
13,1,1,1,1,1,54,1,1,1,938
14,1,1,1,1,1,1,1,1,64,928
15,1,1,1,1,1,1,1,89,1,903
16,1,1,1,1,1,54,64,1,1,875
17,1,1,1,1,1,1,1,1,1,991
18,1,1,26,1,1,1,1,1,1,966
19,1,1,1,88,1,1,64,1,1,841
20,1,1,1,1,1,54,64,1,1,875
21,1,1,1,1,1,1,1,1,1,991
22,1,1,1,1,1,1,1,1,1,991
23,1,1,1,1,1,1,1,1,1,991
24,1,1,1,1,1,1,1,1,1,991
25,1,1,1,1,1,1,1,1,1,991
26,1,1,1,1,1,1,1,1,1,991
27,67,1,1,1,1,1,1,1,1,925
28,67,1,1,1,1,1,1,1,1,925
29,67,1,1,1,1,1,1,1,1,925
30,67,1,1,1,1,1,1,1,1,925
31,67,1,1,1,1,1,1,1,1,925
32,1,1,1,1,1,1,1,1,1,991
33,1,1,1,1,1,1,1,1,1,991
34,1,1,1,1,1,1,1,1,1,991
35,1,1,1,1,1,1,1,1,1,991
36,1,1,1,1,1,1,1,1,1,991
37,1,1,1,1,1,1,1,1,1,991
38,1,1,1,1,1,1,1,1,1,991
39,1,1,1,1,1,1,1,1,1,991
40,1,1,1,1,1,1,1,1,1,991
41,1,1,1,1,1,1,1,1,1,991
42,1,1,1,1,1,1,1,1,1,991
43,1,1,1,1,1,1,1,1,1,991
44,1,1,1,1,1,1,1,1,1,991
45,1,1,1,1,1,1,1,1,1,991
46,1,1,1,1,1,1,1,1,1,991
47,1,1,1,1,1,1,1,1,1,991
48,1,1,1,1,1,1,1,1,1,991
49,1,1,1,1,1,1,1,1,1,991
50,1,1,1,1,1,1,1,1,1,991
51,1,1,26,1,1,1,1,1,1,966
52,1,1,26,1,1,1,1,1,1,966
53,1,1,26,1,1,1,1,1,1,966
54,1,1,26,1,1,1,1,1,1,966
55,1,1,26,1,1,1,1,1,1,966
56,1,1,26,1,1,1,1,1,1,966
57,1,1,26,1,1,1,1,1,1,966
58,1,1,26,1,1,1,1,1,1,966
59,1,1,1,1,1,1,1,89,1,903
60,1,1,1,1,1,1,1,89,1,903
61,1,1,1,1,1,1,1,89,1,903
62,1,1,1,1,1,1,1,1,1,991
63,1,1,1,1,1,1,1,1,1,991
64,1,1,1,1,1,1,1,1,1,991
65,1,1,1,1,1,1,1,1,1,991
66,1,1,1,1,1,1,1,1,1,991
67,1,1,1,1,1,1,1,1,1,991
68,1,41,1,1,1,1,1,1,1,951
69,1,41,1,1,1,1,1,1,1,951
70,1,41,1,1,1,1,1,1,1,951
71,1,41,1,1,1,1,1,1,1,951
72,1,41,1,1,1,1,1,1,1,951
73,1,41,1,1,1,1,1,1,1,951
74,1,41,1,1,1,1,1,1,1,951
75,1,41,1,88,1,1,1,1,1,864
76,1,1,1,88,1,1,1,1,1,904
77,1,1,1,88,1,1,64,1,1,841
78,1,1,26,88,1,1,1,89,1,791
79,1,1,26,88,1,1,1,89,1,791
80,1,1,1,1,1,1,1,89,1,903
81,1,1,26,1,1,1,1,1,1,966
82,1,1,1,88,1,1,1,1,1,904
83,1,1,1,1,1,1,1,1,1,991
84,1,1,1,1,54,1,64,1,1,875
85,1,1,1,1,1,1,64,1,1,928
86,1,1,1,1,1,1,1,89,1,903
87,1,1,1,1,54,1,1,1,1,938
88,1,1,1,1,54,1,64,1,1,875
89,1,1,26,1,1,1,1,1,1,966
90,1,1,26,1,1,1,1,1,1,966
91,1,1,26,1,1,1,1,1,1,966
92,1,1,26,1,1,1,1,1,1,966
93,1,1,1,1,1,1,1,1,1,991
94,1,1,1,1,1,1,1,1,1,991
95,1,1,1,1,1,1,1,1,1,991
96,1,1,1,1,1,1,1,1,1,991
97,1,1,1,1,1,1,1,1,1,991
98,1,1,1,1,1,1,1,1,1,991
99,1,1,1,1,1,1,1,1,1,991
100,1,1,1,1,1,1,1,1,1,991
101,1,1,1,1,1,1,64,1,1,928
102,1,1,1,1,1,1,64,1,1,928
103,1,1,1,1,1,1,64,1,1,928
104,1,1,1,1,1,1,64,1,1,928
105,1,1,1,1,1,1,64,1,1,928
106,1,1,1,1,1,1,64,1,1,928
107,1,1,1,1,1,1,64,1,1,928
108,1,1,1,88,1,1,1,1,1,904
109,1,1,1,88,1,1,1,1,1,904
110,1,1,1,88,1,1,1,1,1,904
111,1,1,1,88,1,1,1,1,1,904
112,1,1,1,88,1,1,1,1,1,904
113,1,1,1,88,1,1,1,1,1,904
114,1,1,1,1,1,1,1,1,1,991
115,1,1,1,1,1,1,1,1,1,991
116,1,1,1,1,1,1,1,1,1,991
117,1,1,1,1,1,1,1,1,1,991
118,1,1,1,1,1,1,1,1,1,991
119,1,1,1,1,1,1,1,1,1,991
120,1,1,1,1,1,1,1,1,1,991
121,1,1,1,1,1,1,1,1,1,991
122,1,1,1,1,1,1,1,1,1,991
123,1,1,1,1,1,1,1,1,1,991
124,1,1,1,1,1,1,1,1,1,991
125,1,1,1,1,1,1,1,89,1,903
126,1,1,1,1,1,1,1,89,1,903
127,1,1,1,1,1,1,1,1,1,991
128,1,1,1,1,1,1,1,1,1,991
129,1,1,1,1,1,1,1,1,1,991
130,1,1,1,1,1,1,1,1,1,991
131,1,1,1,1,1,1,1,1,1,991
132,1,1,1,1,1,1,1,1,1,991
133,1,1,1,1,1,1,1,1,1,991
134,1,1,1,1,1,1,1,1,1,991
135,1,1,1,1,1,1,1,1,1,991
136,1,1,1,1,1,1,1,1,1,991
137,1,1,1,1,1,1,1,1,1,991
138,1,1,1,1,1,1,1,1,1,991
139,1,1,1,1,1,1,1,1,1,991
140,1,1,1,1,1,1,1,1,1,991
141,1,1,1,1,1,1,1,1,1,991
142,1,1,1,1,1,1,1,1,1,991
143,1,1,1,1,54,1,1,1,1,938
144,1,1,1,1,54,1,1,1,1,938
145,1,1,1,1,54,1,1,1,1,938
